"","genes","logFC","logCPM","F","PValue","FDR"
"ENSG00000094804","ENSG00000094804",3.13872475938513,3.253229617921,93.1875799754687,8.55577382796695e-10,9.47631171575376e-07
"ENSG00000143476","ENSG00000143476",3.36550482333247,3.60401076676739,98.7871012211655,8.98213402050047e-10,9.51838714136682e-07
"ENSG00000122952","ENSG00000122952",2.48814621890089,4.56313346979065,99.0484167506354,9.23458403942968e-10,9.51838714136682e-07
"ENSG00000224373","ENSG00000224373",3.76336627391675,6.27911560553134,121.067178414522,9.94861993533014e-10,9.51838714136682e-07
"ENSG00000051180","ENSG00000051180",2.71106023579916,3.23236335883995,87.2602524718134,1.0022122328686e-09,9.51838714136682e-07
"ENSG00000156299","ENSG00000156299",-0.856276463422953,6.37232163391286,82.3801284074889,1.01851994156074e-09,9.51838714136682e-07
"ENSG00000137309","ENSG00000137309",1.03468212930329,6.22074601685121,81.5747905314253,1.12724990199776e-09,1.02152752482555e-06
"ENSG00000089685","ENSG00000089685",3.98732116874808,4.30427632822178,108.888337175187,1.21525399886116e-09,1.04371856994837e-06
"ENSG00000211947","ENSG00000211947",3.24832305440627,6.63241372571135,115.427860724083,1.22153987454249e-09,1.04371856994837e-06
"ENSG00000121152","ENSG00000121152",2.05603622707137,3.35531163328296,80.5525952905421,1.28354641731939e-09,1.06623487805378e-06
"ENSG00000168078","ENSG00000168078",3.66493029990392,2.10890083496254,80.9030444000342,1.42452673795823e-09,1.15136411077408e-06
"ENSG00000146670","ENSG00000146670",3.17467291501074,3.23257854331674,88.5196011395787,1.67376907752025e-09,1.30275351540612e-06
"ENSG00000135476","ENSG00000135476",2.8778533810906,2.70233849894063,80.5554598037646,1.69895960878912e-09,1.30275351540612e-06
"ENSG00000109805","ENSG00000109805",3.34053682517106,3.09392888242847,88.0511990884123,1.77569773013292e-09,1.32755601549062e-06
"ENSG00000157445","ENSG00000157445",-2.08738005684173,3.19804459186274,77.6412214000757,1.87089191541004e-09,1.34813387965186e-06
"ENSG00000170476","ENSG00000170476",3.6376217240593,6.96624252993019,112.859605097039,1.89338314480449e-09,1.34813387965186e-06
"ENSG00000176890","ENSG00000176890",3.0548076188265,2.86308745317876,82.1841616463289,2.13038969582689e-09,1.44886056462168e-06
"ENSG00000066279","ENSG00000066279",3.05661767354735,3.03697133223474,83.934713406403,2.131746023854e-09,1.44886056462168e-06
"ENSG00000183010","ENSG00000183010",3.10165572332773,2.84440928593179,80.7486225284723,2.77426773164644e-09,1.84365503366415e-06
"ENSG00000090889","ENSG00000090889",3.24672406198356,2.47212233417011,76.9646331399249,3.42508261477145e-09,2.22667599119001e-06
"ENSG00000051341","ENSG00000051341",2.31492975209359,2.86399428206259,72.2537813643806,3.86729339956832e-09,2.46066827902321e-06
"ENSG00000171241","ENSG00000171241",3.37934558483019,3.96946785656236,90.6364523433805,4.12797842203993e-09,2.53700186794185e-06
"ENSG00000092853","ENSG00000092853",2.64056178817177,3.09484473560643,76.3693331365604,4.15693333988131e-09,2.53700186794185e-06
